dist,episode_num,reward
722,1,44.3137
722,1,44.3137
686,2,42.1042
294,3,60.1488
69,4,64.3838
1422,5,151.6609
1124,6,220.6479
293,7,196.52700000000002
898,8,233.5983
898,9,284.4792
803,10,246.4873
657,11,217.8246
292,12,217.7632
896,13,217.6404
818,14,212.7303
663,15,204.1376
686,16,205.9175
298,17,206.2858
656,18,191.5555
1139,19,211.2573
674,20,211.9324
3254,21,369.5468
698,22,394.0973
1426,23,441.3571
295,24,389.5555
251,25,363.5933
292,26,181.7966
898,27,194.0719
678,28,148.1624
722,29,174.3701
295,30,177.0707
295,31,177.2548
898,32,177.2548
669,33,176.7024
817,34,50.1445
703,35,93.292
291,36,111.1525
294,37,129.1972
1123,38,198.1228
295,39,166.0843
1121,40,191.7396
260,41,189.83700000000002
1137,42,241.5772
791,43,221.2003
690,44,245.4439
1139,45,246.5487
898,46,285.7068
294,47,233.9665
1121,48,254.2207
898,49,266.987
646,50,236.7285
805,51,231.0205
282,52,230.284
897,53,216.5357
295,54,179.5257
675,55,181.3057
898,56,187.0137
898,57,224.8215
698,58,212.6076
722,59,238.8153
841,60,249.0037
898,61,249.0037
676,62,235.3782
1393,63,278.0347
820,64,284.0496
898,65,287.5481
679,66,274.1067
800,67,281.7173
898,68,251.336
694,69,243.6026
1407,70,274.8432
297,71,251.3974
668,72,243.2957
50,73,191.2486
292,74,166.5753
722,75,124.5325
282,76,123.6119
845,77,134.4755
722,78,175.7204
898,79,212.9144
722,80,212.9144
294,81,213.65099999999998
722,82,206.1017
898,83,216.9039
1136,84,231.5115
721,85,231.4501
818,86,263.6113
657,87,259.6218
1400,88,290.4327
1139,89,290.6168
295,90,264.4705
296,91,232.4321
898,92,247.2238
1121,93,230.0998
707,94,203.5853
672,95,226.7241
719,96,252.6863
898,97,252.6863
1422,98,271.1606
699,99,270.6696
689,100,271.713
898,101,282.6993
863,102,280.5511
255,103,208.925
669,104,207.0837
703,105,207.94299999999998
898,106,207.943
898,107,210.0912
722,108,238.7539
832,109,248.7582
722,110,249.9244
295,111,212.9145
1139,112,227.7061
288,113,201.0688
898,114,205.1197
295,115,178.912
296,116,178.9733
293,117,127.04899999999999
721,118,153.6249
685,119,140.5518
283,120,139.8152
296,121,139.8152
294,122,139.8766
295,123,113.7303
226,124,85.5586
799,125,117.2288
1411,126,185.6634
839,127,219.1135
678,128,242.6206
722,129,273.0632
294,130,242.0682
819,131,205.7334
1412,132,240.902
