dist,episode_num,reward
96,5,35.6596
96,5,35.6596
160,10,39.5878
247,15,62.9721
56,20,32.3453
213,25,55.607
90,30,25.8394
195,35,54.4408
203,40,50.1444
50,45,32.8977
114,50,55.8524
106,55,38.6671
141,60,50.5741
121,65,55.7297
183,70,59.6578
171,75,34.0025
87,80,40.0174
124,85,53.7656
367,90,57.3869
66,95,42.2883
186,100,34.8618
265,105,61.3763
122,110,56.4662
144,115,65.4885
147,120,37.8078
171,125,33.0818
173,130,48.1804
230,135,41.428999999999995
68,140,34.1252
346,145,59.2281
258,150,55.4228
250,155,58.0006
154,160,71.6262
166,165,48.5487
157,170,36.703
115,175,41.1221
112,180,34.5549
56,185,41.5518
129,190,52.0471
143,195,48.5487
177,200,48.4873
208,205,53.9498
145,210,51.4333
115,215,34.8618
190,220,53.7657
188,225,47.5053
165,230,46.9529
143,235,41.0608
156,240,51.4333
292,245,53.6429
150,250,38.6057
133,255,21.4817
228,260,58.8599
120,265,38.1761
252,270,33.757
99,275,27.8035
114,280,32.8977
119,285,42.3497
109,290,42.902
177,295,50.6968
90,300,38.1761
