dist,episode_num,reward
175,5,77.8252
175,5,77.8252
153,10,55.8524
252,15,79.1755
172,20,87.7681
169,25,105.0762
139,35,64.26100000000001
255,45,127.1104
416,55,111.6435
223,60,67.8822
221,65,119.3769
270,70,120.9727
562,75,133.4935
158,80,61.1308
573,85,110.1091
579,90,128.2151
130,95,77.0273
561,100,155.7731
594,105,82.7353
238,110,51.863
244,115,86.7247
588,120,111.9504
168,125,153.2567
243,130,93.7216
205,140,68.3118
163,150,86.1723
440,160,125.3304
538,170,110.4774
70,180,104.0942
583,190,146.2598
283,200,66.1023
566,210,123.1823
556,220,137.7285
592,230,105.8741
294,240,103.2964
208,270,92.0031
273,300,120.4817
594,330,118.4563
594,360,162.0335
421,365,106.6107
434,370,129.9337
293,375,99.9207
262,380,100.9027
291,390,79.9119
432,400,98.01799999999999
225,410,92.1259
214,420,69.5394
579,430,138.7718
584,440,105.8741
476,450,107.4699
281,460,106.6107
183,470,49.1011
294,480,77.2728
187,485,93.4147
231,495,84.9448
269,505,70.3372
237,515,92.801
591,525,122.7526
296,535,164.9182
226,545,88.5046
215,555,134.8438
270,565,138.5877
571,575,95.6243
248,585,85.5586
159,595,91.3894
544,605,104.7694
292,615,104.21700000000001
234,625,66.9002
290,635,72.1786
186,645,86.0496
165,655,78.5003
288,665,86.9089
559,675,117.9039
284,685,102.0688
287,695,77.4569
243,705,104.5239
158,715,133.4935
213,725,118.8246
428,735,108.5133
721,745,123.8574
593,755,142.3317
537,765,158.8419
591,775,152.2133
167,805,67.1457
287,835,116.7377
211,865,97.9566
428,870,127.8469
292,875,84.0242
585,880,137.6057
588,885,131.8363
263,890,133.8004
594,895,137.2375
289,900,68.6187
277,905,77.5797
177,910,99.6751
594,915,114.5282
294,920,145.9529
140,925,96.2381
289,930,125.2077
527,935,92.8624
297,940,157.6758
294,945,71.442
594,950,116.8605
597,955,100.5344
271,960,123.6119
286,965,93.292
557,970,152.4588
138,975,95.8698
586,980,136.0713
191,985,88.4433
230,990,137.4829
233,995,86.7248
255,996,15.651
587,997,51.6789
594,998,88.1364
284,999,105.5673
400,1000,130.1178
584,1001,35.8438
291,1002,53.7043
159,1003,63.4631
233,1004,77.7638
233,1005,92.0645
590,1006,92.4327
679,1007,116.2467
564,1008,141.1041
193,1009,138.6491
281,1010,141.5951
586,1011,141.3496
582,1012,135.3961
162,1013,110.7229
282,1014,116.1854
286,1015,116.4922
594,1016,116.9833
284,1017,98.6931
159,1018,98.509
283,1019,98.5704
281,1020,98.2635
594,1021,98.2635
594,1022,117.2902
594,1023,143.9889
593,1024,163.0155
267,1025,162.1563
592,1026,162.0335
245,1027,140.6132
690,1028,146.5053
434,1029,136.7464
264,1030,136.5623
292,1031,118.1494
295,1032,121.2182
591,1033,115.14200000000001
294,1034,106.5493
150,1035,99.5524
585,1036,117.5356
291,1037,117.2901
594,1038,117.4743
260,1039,115.3875
580,1040,141.7793
232,1041,120.1134
277,1042,119.2542
421,1043,108.6361
555,1044,126.7421
162,1045,101.0868
169,1046,97.2201
264,1047,96.4222
266,1048,86.9089
587,1049,88.8729
135,1050,87.2157
185,1051,88.1978
594,1052,108.452
209,1053,104.9535
283,1054,86.2951
289,1055,95.7471
149,1056,93.5375
572,1057,92.1873
179,1058,90.346
266,1059,89.3026
434,1060,98.2021
170,1061,99.491
586,1062,100.3503
593,1063,125.7601
262,1064,125.5146
575,1065,134.1686
270,1066,140.3063
384,1067,127.9082
580,1068,127.1103
586,1069,146.9963
172,1070,122.2616
565,1071,140.3676
409,1072,141.90200000000004
156,1073,115.8785
258,1074,95.747
274,1075,102.0074
235,1076,81.7533
575,1077,91.9417
275,1078,99.2455
221,1079,96.9746
55,1080,83.5332
259,1081,85.0062
160,1082,59.535
122,1083,50.1445
275,1084,53.4588
568,1085,84.9448
100,1086,75.186
268,1087,81.8146
282,1088,91.6348
173,1089,85.3745
188,1090,62.0515
267,1091,72.3013
583,1092,91.6348
588,1093,110.416
588,1094,135.8872
273,1095,141.1042
243,1096,139.6311
234,1097,118.2108
240,1098,96.8518
588,1099,96.8518
580,1100,115.6944
565,1101,135.4575
239,1102,135.7644
285,1103,138.5264
191,1104,114.16
239,1105,93.2306
187,1106,70.0304
149,1107,64.5065
553,1108,80.9554
130,1109,77.2114
588,1110,98.6318
289,1111,104.8921
276,1112,112.6869
276,1113,95.6857
243,1114,102.6212
552,1115,100.4116
89,1116,88.1364
184,1117,82.4898
275,1118,82.4284
243,1119,82.4284
578,1120,84.0242
268,1121,95.0105
553,1122,117.6584
594,1123,137.2375
575,1124,157.6144
246,1125,137.2375
587,1126,156.8165
99,1127,128.9517
285,1128,109.9864
584,1129,110.5388
541,1130,128.6448
243,1131,107.5313
285,1132,118.9473
545,1133,134.9051
217,1134,112.38
593,1135,115.5716
590,1136,136.8692
594,1137,155.8345
188,1138,133.9231
223,1139,134.2914
287,1140,115.5102
590,1141,115.5102
269,1142,95.5629
152,1143,93.3534
183,1144,90.8983
287,1145,90.8983
554,1146,88.6888
581,1147,107.8382
275,1148,115.3875
593,1149,140.5518
585,1150,158.8419
398,1151,149.2672
183,1152,124.8394
208,1153,120.7272
286,1154,101.8847
287,1155,83.5945
576,1156,94.5195
183,1157,94.5195
294,1158,99.7979
291,1159,100.1048
293,1160,100.473
594,1161,101.5778
594,1162,126.8035
292,1163,126.6807
207,1164,121.5251
556,1165,137.6671
141,1166,109.8636
173,1167,84.0242
290,1168,83.9014
594,1169,107.6541
270,1170,90.1004
238,1171,96.0539
201,1172,97.7725
236,1173,94.4582
252,1174,73.4675
532,1175,89.5481
273,1176,91.6962
546,1177,112.8711
293,1178,116.3695
210,1179,113.7917
271,1180,97.7725
205,1181,93.5989
145,1182,68.987
244,1183,65.9795
551,1184,86.9089
292,1185,88.1978
272,1186,92.31
521,1187,115.3875
288,1188,118.088
591,1189,120.5431
282,1190,119.9293
163,1191,113.2393
587,1192,117.2901
291,1193,117.4743
569,1194,116.124
294,1195,116.8605
593,1196,143.2523
293,1197,125.2077
521,1198,139.3242
290,1199,122.2003
389,1200,128.031
518,1201,31.7929
161,1202,41.6745
281,1203,17.2467
287,1204,34.8617
286,1205,52.4154
555,1206,86.4792
284,1207,103.9101
273,1208,16.7557
84,1209,21.9114
554,1210,55.9138
592,1211,92.2486
593,1212,128.6448
275,1213,128.7675
281,1214,140.8586
266,1215,123.1823
240,1216,101.5778
550,1217,98.9386
594,1218,118.5177
213,1219,114.3441
285,1220,115.5103
241,1221,115.5716
111,1222,88.6274
290,1223,69.969
284,1224,74.3268
418,1225,82.4898
168,1226,78.0093
255,1227,86.8475
150,1228,78.2548
594,1229,97.2815
591,1230,107.8996
200,1231,109.8636
289,1232,111.9504
281,1233,119.9907
258,1234,99.3682
592,1235,99.4296
282,1236,104.4625
587,1237,122.7526
166,1238,10.1885
434,1239,36.8258
679,1240,78.5003
129,1241,86.4178
257,1242,102.1916
293,1243,109.9864
173,1244,93.9671
279,1245,69.4166
587,1246,97.527
238,1247,96.3608
244,1248,93.3534
234,1249,97.0973
281,1250,97.2201
157,1251,70.8283
567,1252,91.0211
289,1253,93.78299999999999
558,1254,113.6689
580,1255,132.0205
186,1256,133.8004
192,1257,110.7843
281,1258,110.2932
594,1259,112.5028
583,1260,112.6869
285,1261,17.4923
587,1262,53.5202
580,1263,89.1184
568,1264,123.9802
594,1265,160.4377
284,1266,160.3763
291,1267,142.2089
162,1268,116.5536
173,1269,92.31
198,1270,68.005
414,1271,75.9839
587,1272,94.1513
556,1273,118.3336
591,1274,143.9889
594,1275,168.2939
281,1276,160.1308
136,1277,132.4501
582,1278,134.0459
568,1279,132.6342
593,1280,132.5728
192,1281,11.7843
589,1282,47.9349
285,1283,17.4923
220,1284,30.995
