dist,episode_num,reward
721,1,44.2523
721,1,44.2523
722,2,44.3137
296,3,18.1674
898,4,73.2833
297,5,91.5121
1130,6,160.8673
782,7,208.8636
722,8,235.0099
293,9,197.8772
806,10,229.1178
898,11,214.8785
1126,12,235.99200000000002
664,13,232.4321
898,14,269.5648
282,15,237.4036
701,16,225.3125
722,17,200.5164
867,18,212.9758
673,19,199.1661
722,20,226.1717
686,21,225.2511
669,22,221.9981
722,23,213.0986
260,24,187.7502
685,25,185.4792
1140,26,213.3441
705,27,215.5536
287,28,188.8549
722,29,217.2108
270,30,191.7396
721,31,166.0229
722,32,167.0663
721,33,193.7036
263,34,165.5319
1128,35,218.1928
722,36,218.2542
898,37,229.0564
283,38,202.1736
722,39,230.3453
822,40,211.5642
722,41,211.5642
656,42,196.7111
898,43,234.4575
897,44,245.1984
721,45,238.9994
284,46,212.1166
1139,47,241.7613
800,48,235.7464
1128,49,249.9244
290,50,223.4712
722,51,250.354
679,52,222.1209
718,53,217.088
868,54,201.1302
850,55,235.5009
714,56,235.0099
262,57,209.416
293,58,183.3311
721,59,174.3087
272,60,138.8332
296,61,113.1779
838,62,148.5307
291,63,148.4079
898,64,159.2715
722,65,186.8909
898,66,223.8394
860,67,225.1897
720,68,251.5202
898,69,251.5202
721,70,251.4588
794,71,245.0756
293,72,210.2753
288,73,183.7607
722,74,172.9585
857,75,181.3056
721,76,176.8252
721,77,203.0942
280,78,202.6032
722,79,202.6032
260,80,165.9615
722,81,166.0229
898,82,176.8865
722,83,204.0149
297,84,177.9299
722,85,206.2858
721,86,206.2244
722,87,195.4222
924,88,207.8202
694,89,232.1866
722,90,232.1866
826,91,238.6311
674,92,235.6851
816,93,229.0564
721,94,230.7136
672,95,227.6448
898,96,232.0639
898,97,245.8122
898,98,250.845
676,99,248.0831
696,100,249.5561
296,101,212.6076
721,102,201.74400000000003
722,103,190.9417
821,104,199.8413
671,105,198.3069
722,106,224.4532
707,107,223.5939
722,108,223.5939
282,109,190.5121
295,110,167.4346
295,111,141.2269
722,112,142.1476
722,113,142.1476
294,114,142.8841
835,115,176.0273
722,116,202.235
722,117,202.235
294,118,175.9659
898,119,213.0372
701,120,204.8128
294,121,178.5437
786,122,182.4718
261,123,180.4464
291,124,143.1909
722,125,144.4798
290,126,144.2343
898,127,151.1085
722,128,179.403
722,129,205.8562
294,130,179.5871
1130,131,231.1432
898,132,231.1432
267,133,203.217
898,134,214.0192
667,135,236.9126
890,136,222.1823
721,137,211.3187
856,138,247.4693
270,139,208.925
671,140,209.1705
1132,141,224.0235
694,142,222.3664
294,143,187.8729
699,144,214.2033
685,145,215.0626
284,146,163.0155
279,147,137.5443
895,148,174.4315
898,149,186.6454
719,150,188.7322
722,151,215.615
721,152,242.7433
722,153,232.1252
722,154,221.32299999999998
663,155,217.8859
287,156,191.1872
898,157,202.0508
684,158,199.7185
855,159,207.8816
297,160,185.4179
897,161,222.8574
294,162,185.7861
721,163,188.057
893,164,190.3893
722,165,216.4743
659,166,201.8667
290,167,201.6212
288,168,175.0453
722,169,164.5499
680,170,161.9721
898,171,176.6411
898,172,213.9579
254,173,211.8711
278,174,184.62
898,175,198.0
722,176,187.1978
287,177,149.6968
720,178,178.2982
691,179,203.6466
722,180,192.8444
295,181,166.6367
722,182,193.3354
676,183,190.6349
722,184,192.5375
898,185,203.3398
722,186,229.5474
722,187,229.5474
721,188,232.3094
853,189,240.3497
722,190,229.5474
684,191,227.2151
670,192,224.0236
704,193,222.9802
897,194,225.6807
720,195,225.558
722,196,227.8903
722,197,231.0818
722,198,232.1866
1128,199,246.3645
898,200,257.2895
898,201,268.0918
722,202,268.0918
275,203,240.6565
720,204,215.615
284,205,17.4309
659,206,57.8779
792,207,106.4879
696,208,149.2058
668,209,190.2052
796,210,221.6299
288,211,198.8593
290,212,168.0484
893,213,180.1395
1124,214,208.1271
271,215,175.9045
49,216,161.2356
205,217,156.0186
294,218,119.2542
722,219,94.5809
897,220,133.0025
720,221,174.18599999999995
898,222,216.7198
670,223,239.7973
